"Edu2F","LabM","LE","EYoE","GNI","MMR","Birth","Parliament"
"Bhutan",34,77.2,69.5,12.6,"7,176",120,40.9,8.3
"Syrian Arab Republic",29.5,72.7,69.6,12.3,"2,728",49,41.6,12.4
"Congo",39.7,73,62.3,11.1,"6,012",410,126.7,11.5
"Zambia",25.8,85.6,60.1,13.5,"3,734",280,125.4,12.7
"Ghana",45.2,71.4,61.4,11.5,"3,852",380,58.4,10.9
"Bangladesh",34.1,84.1,71.6,10,"3,191",170,80.6,20
"Cambodia",9.9,86.5,68.4,10.9,"2,949",170,44.3,19
"Kenya",25.3,72.4,61.6,11,"2,762",400,93.6,20.8
"Nepal",17.7,87.1,69.6,12.4,"2,311",190,73.7,29.5
"Pakistan",19.3,82.9,66.2,7.8,"4,866",170,27.3,19.7
"Myanmar",22.9,82.3,65.9,8.6,"4,608",200,12.1,4.7
"Swaziland",21.9,71.6,49,11.3,"5,542",310,72,14.7
"Tanzania (United Republic of)",5.6,90.2,65,9.2,"2,411",410,122.7,36
"Cameroon",21.3,76.8,55.5,10.4,"2,803",590,115.8,27.1
"Zimbabwe",48.7,89.7,57.5,10.9,"1,615",470,60.3,35.1
"Mauritania",8.3,79.1,63.1,8.5,"3,560",320,73.3,22.2
"Papua New Guinea",7.6,74,62.6,9.9,"2,463",220,62.1,2.7
"Yemen",8.6,72.2,63.8,9.2,"3,519",270,47,0.7
"Lesotho",21.9,73.5,49.8,11.1,"3,306",490,89.4,26.8
"Togo",16.1,81.3,59.7,12.2,"1,228",450,91.5,17.6
"Haiti",22.4,71,62.8,8.7,"1,669",380,42,3.5
"Rwanda",8,85.3,64.2,10.3,"1,458",320,33.6,57.5
"Uganda",22.9,79.2,58.5,9.8,"1,613",360,126.6,35
"Benin",11.3,78.3,59.6,11.1,"1,767",340,90.2,8.4
"Sudan",12.1,76,63.5,7,"3,809",360,84,23.8
"Senegal",7.2,88,66.5,7.9,"2,188",320,94.4,42.7
"Afghanistan",5.9,79.5,60.4,9.3,"1,885",400,86.8,27.6
"Côte d'Ivoire",14,81.4,51.5,8.9,"3,171",720,130.3,9.2
"Malawi",11.1,81.5,62.8,10.8,"747",510,144.8,16.7
"Ethiopia",7.8,89.3,64.1,8.5,"1,428",420,78.4,25.5
"Gambia",17.4,82.9,60.2,8.8,"1,507",430,115.8,9.4
"Congo (Democratic Republic of the)",12.8,73.2,58.7,9.8,"680",730,135.3,8.2
"Liberia",15.4,64.8,60.9,9.5,"805",640,117.4,10.7
"Mali",7.7,81.4,58,8.4,"1,583",550,175.6,9.5
"Mozambique",1.4,82.8,55.1,9.3,"1,123",480,137.8,39.6
"Sierra Leone",10,69,50.9,8.6,"1,780",1100,100.7,12.4
"Burkina Faso",0.9,90,58.7,7.8,"1,591",400,115.4,13.3
"Burundi",5.3,82,56.7,10.1,"758",740,30.3,34.9
"Chad",1.7,79.2,51.6,7.4,"2,085",980,152,14.9
"Central African Republic",10.1,85.1,50.7,7.2,"581",880,98.3,12.5
"Niger",2.4,89.7,61.4,5.4,"908",630,204.8,13.3
